CUSTOMER_ID,ORDER_NUMBER,MATERIAL_NUMBER
1028,9,32
1029,6,897
1030,4,1094
1031,3,2014
1031,3,184
1032,3,16540
1034,5,142
1037,3,369
1038,9,1854
1038,9,475
1039,3,1998
1039,3,61
1040,7,3395
1040,7,21132
1040,7,20854
1040,7,351
1040,7,627
1040,7,862
1040,7,447
1041,3,15482
1041,3,1998
1041,3,5757
1041,3,14915
1041,3,15415
1041,3,74
1041,3,652
1041,3,14934
1041,3,145
1041,3,6844
1041,3,6902
1041,3,3094
1041,3,1272
1041,3,2738
1041,3,15404
1043,8,1498
1043,8,5390
1044,4,67
1044,4,653
1044,4,86
1044,4,1941
1044,4,15426
1044,4,14826
1045,4,803
1045,4,173
1046,3,10
1047,3,312
1047,3,15415
1049,12,2392
1049,12,20024
1050,3,897
1052,4,155
1052,4,23719
1052,4,23720
1052,4,428
1052,4,1287
1052,4,656
1052,4,3303
1052,4,562
1052,4,203
1052,4,64
1054,19,1310
1055,9,3126
1055,9,4161
1056,5,4907
1056,5,4577
1056,5,15077
1056,5,3977
1056,5,15091
1056,5,2656
1056,5,189
1056,5,14848
1057,9,16561
1058,6,44
1059,5,652
1059,5,18749
1062,5,19
1062,5,51
1063,6,22591
1064,4,3778
1064,4,4
1066,3,3748
1066,3,1
1067,6,1924
1067,6,15352
1067,6,155
1067,6,173
1067,6,10
1070,6,235
1071,3,778
1072,4,2774
1074,9,6853
1074,9,775
1074,9,16395
1074,9,235
1075,3,19
1075,3,6
1075,3,10
1078,15,693
1080,9,3927
1080,9,16554
1082,7,19596
1082,7,19631
1082,7,21638
1084,9,13863
1085,4,3748
1086,3,1359
1087,5,417
1087,5,45
1088,11,160
1089,15,12913
1092,4,1270
1092,4,66
1093,9,73
1095,3,468
1097,7,16669
1099,3,1998
1099,3,142
1099,3,2640
1099,3,841
1099,3,61
1099,3,131
1099,3,416
1100,4,32
1100,4,647
1101,9,14782
1102,4,67
1103,6,155
1105,4,14734
1107,3,64
1108,7,16446
1108,7,16561
1110,6,21547
1110,6,1094
1112,3,62
1114,8,3021
1114,8,8432
1114,8,22321
1114,8,2532
1115,8,269
1116,11,7557
1116,11,12426
1116,11,5338
1117,3,16656
1117,3,255
1117,3,2985
1117,3,408
1118,10,16551
1120,5,20854
1122,3,7
1122,3,31
1124,3,3994
1124,3,14904
1125,8,1924
1125,8,15852
1125,8,18751
1125,8,16300
1125,8,14734
1125,8,1735
1125,8,142
1125,8,354
1125,8,272
1125,8,19031
1125,8,1
1125,8,1235
1125,8,16327
1125,8,15999
1125,8,6086
1125,8,6846
1125,8,141
1125,8,311
1125,8,184
1126,5,19211
1128,5,70
1132,5,333
1133,3,14717
1133,3,5851
1133,3,22511
1134,3,235
1136,6,232
1136,6,46
1139,3,3
1139,3,15182
1139,3,760
1139,3,34
1139,3,2776
1139,3,884
1139,3,439
1144,3,19
1144,3,47
1144,3,416
1145,3,6
1145,3,47
1145,3,416
1146,11,474
1147,5,33
1149,7,6677
1150,3,4031
1150,3,369
1152,4,359
1152,4,333
1153,6,720
1153,6,3530
1153,6,15993
1153,6,22832
1153,6,468
1153,6,5062
1153,6,210
1155,7,2136
1155,7,21507
1155,7,22605
1156,5,22270
1157,5,3130
1157,5,2173
1157,5,1295
1157,5,416
1158,5,2402
1158,5,549
1158,5,499
1158,5,7547
1158,5,92
1158,5,135
1158,5,2348
1160,7,110
1160,7,33
1160,7,723
1161,3,957
1161,3,2684
1161,3,22467
1161,3,2998
1162,11,16404
1163,4,58
1167,5,830
1167,5,8044
1167,5,1402
1167,5,336
1168,7,14766
1173,4,2981
1175,5,3004
1175,5,2958
1175,5,781
1175,5,2900
1175,5,119
1177,5,126
1178,5,22735
1179,3,250
1179,3,253
1179,3,59
1179,3,1937
1179,3,713
1180,6,317
1180,6,3201
1181,7,4505
1181,7,2037
1182,3,416
1182,3,10
1184,5,1998
1185,7,6791
1185,7,1876
1185,7,16451
1185,7,16450
1185,7,23017
1185,7,2579
1186,7,5338
1190,4,3004
1191,6,8219
1191,6,2
1192,4,468
1193,4,1495
1194,5,9542
1197,4,2148
1198,16,16661
1200,3,2774
1201,9,22792
1201,9,7948
1201,9,19055
1201,9,347
1201,9,627
1201,9,102
1201,9,76
1201,9,2052
1201,9,27
1202,3,2707
1204,3,15157
1205,4,77
1206,6,3320
1206,6,1204
1207,4,118
1210,4,1794
1212,6,4811
1212,6,18
1212,6,2015
1215,11,15743
1216,8,6996
1227,3,3004
1227,3,2958
1227,3,250
1227,3,232
1229,3,360
1229,3,253
1229,3,2321
1232,4,596
1235,3,235
1240,16,239
1240,16,2531
1241,16,761
1243,4,67
1245,7,1341
1245,7,2917
1245,7,153
1246,4,1094
1247,6,1459
1248,5,4901
1249,5,957
1249,5,1786
1250,4,19190
1250,4,19195
1250,4,18451
1251,10,2136
1251,10,371
1251,10,5566
1256,5,359
1256,5,94
1256,5,142
1257,16,371
1258,3,18751
1259,6,2136
1259,6,10084
1259,6,697
1259,6,3227
1259,6,13
1259,6,61
1259,6,14190
1259,6,1977
1259,6,14189
1259,6,1357
1259,6,14564
1259,6,18
1259,6,408
1259,6,6361
1259,6,1273
1259,6,14421
1260,9,250
